Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
35,Playmaker Futbol Academy PRE-ECNL B14,0.128,0.142,0.9,0.004,0.0,0.467,19,31,Active,True,2025-09-28
36,Phoenix Premier FC 14B Black,0.127,0.127,1.0,0.005,0.0,0.419,30,44,Active,True,2025-10-04
37,SCUM East Valley 14B Ninjas,0.127,0.169,0.75,0.0,0.141,0.4,6,6,Active,True,2025-09-06
38,2014B West,0.126,0.126,1.0,0.015,0.0,0.404,30,66,Active,True,2025-09-28
39,Northwest 2014 Boys,0.126,0.126,1.0,0.003,0.0,0.415,30,46,Active,True,2025-04-26
40,PRFC Desert Foothills 14B Pre-Academy,0.126,0.126,1.0,0.002,0.0,0.419,30,55,Active,True,2025-10-05
41,CCV Stars 14 Boys West Pre-ECNL,0.124,0.124,1.0,0.011,0.0,0.4,21,25,Active,True,2025-09-13
42,AZEV B2014 (WHITE),0.124,0.124,1.0,0.01,0.0,0.4,30,45,Active,True,2025-09-27
43,Phoenix Premier FC 14B X-Factor,0.124,0.124,1.0,0.01,0.0,0.4,30,31,Active,True,2025-09-21
44,Madison FC 14 Gold Boys,0.123,0.123,1.0,0.009,0.0,0.4,30,49,Active,True,2025-10-04
45,14 Pre-MLSN #1,0.123,0.123,1.0,0.008,0.0,0.401,30,39,Active,True,2025-10-04
46,AZ Arsenal 14 Boys Select,0.123,0.123,1.0,0.008,0.0,0.4,29,31,Active,True,2025-10-04
47,FC Deportivo AZ 2014B (Gallegos),0.123,0.123,1.0,0.008,0.0,0.4,24,24,Active,True,2025-10-04
48,CCV Stars 14 Boys East Pre-ECNL,0.123,0.123,1.0,0.008,0.0,0.4,22,26,Active,True,2025-09-14
49,AZSC 14B Perez,0.123,0.123,1.0,0.007,0.0,0.403,30,56,Active,True,2025-04-27
50,AZ Arsenal 14 Boys Teal CB,0.122,0.122,1.0,0.007,0.0,0.4,30,38,Active,True,2025-09-06
51,AZSC 2014B Pre-NL Premier 2,0.122,0.122,1.0,0.007,0.0,0.4,30,38,Active,True,2025-09-20
52,Real Arizona 2014,0.122,0.122,1.0,0.007,0.0,0.4,30,47,Active,True,2025-04-27
53,RSL-AZ Yuma 14 Boys Rodriguez,0.122,0.135,0.9,0.006,0.0,0.442,10,13,Active,True,2025-08-17
54,14 Pre-MLSN #2,0.122,0.122,1.0,0.006,0.0,0.4,30,43,Active,True,2025-10-04
55,FSC United 14 Boys,0.122,0.122,1.0,0.006,0.0,0.4,30,45,Active,True,2025-09-28
56,Legends FC AZ 14B Black,0.122,0.122,1.0,0.006,0.0,0.4,30,39,Active,True,2025-04-13
57,PRFC Southeast Valley 14B Predator,0.122,0.122,1.0,0.006,0.0,0.4,30,59,Active,True,2025-10-04
58,NOS Santos 14 Boys Blue,0.122,0.122,1.0,0.006,0.0,0.4,27,37,Active,True,2025-10-04
59,Kingman SC B14 McGill,0.122,0.122,1.0,0.006,0.0,0.4,23,23,Active,True,2025-09-07
60,CCV Stars 14 Boys West Orange,0.122,0.122,1.0,0.006,0.0,0.4,22,25,Active,True,2025-09-20
61,14B Engilman,0.122,0.122,1.0,0.005,0.0,0.4,30,52,Active,True,2025-09-20
62,2014 Rush Boys,0.122,0.122,1.0,0.005,0.0,0.4,30,42,Active,True,2025-10-04
63,FC Elite Arizona 2014 Boys (ARCHIVED),0.122,0.122,1.0,0.005,0.0,0.4,30,47,Active,True,2025-06-01
64,PRFC Scottsdale 14B Pre-Academy,0.122,0.122,1.0,0.005,0.0,0.4,30,61,Active,True,2025-10-05
65,Brazas 2014 Boys Black Marcos,0.122,0.122,1.0,0.005,0.0,0.4,27,35,Active,True,2025-04-27
66,RSL-AZ Yuma 14 Boys Quinonez,0.122,0.122,1.0,0.005,0.0,0.4,22,26,Active,True,2025-10-04
67,14B Negrete Pre MLS Next,0.122,0.122,1.0,0.005,0.0,0.4,21,25,Active,True,2025-10-04
68,14 Cityzens,0.122,0.122,1.0,0.001,0.0,0.404,30,71,Active,True,2025-10-04
69,2014 Boys Yellow,0.121,0.121,1.0,0.004,0.0,0.4,30,50,Active,True,2025-09-20
70,AZ Inferno 14 Boys Black,0.121,0.121,1.0,0.004,0.0,0.4,30,56,Active,True,2025-10-04
71,AZEV B2014 (NAVY),0.121,0.121,1.0,0.004,0.0,0.4,30,54,Active,True,2025-09-27
72,Madison FC 14 Blue Boys,0.121,0.121,1.0,0.004,0.0,0.4,30,51,Active,True,2025-09-20
73,PRFC Scottsdale 14B Copa,0.121,0.121,1.0,0.004,0.0,0.4,30,39,Active,True,2025-09-20
74,PRFC Scottsdale 14B Predator,0.121,0.121,1.0,0.004,0.0,0.4,30,43,Active,True,2025-09-20
75,Tuzos Halcones 2014,0.121,0.121,1.0,0.004,0.0,0.4,30,42,Active,True,2025-10-05
76,East Valley NSFC 14 Boys Tiggs,0.121,0.121,1.0,0.004,0.0,0.4,27,29,Active,True,2025-09-13
77,Scottsdale 14 Sandsharks Select,0.121,0.121,1.0,0.004,0.0,0.4,25,31,Active,True,2025-10-04
78,AZ Arsenal 14 Boys Teal MC,0.121,0.121,1.0,0.004,0.0,0.4,23,24,Active,True,2025-09-21
79,14 Boys Navy,0.121,0.121,1.0,0.003,0.0,0.4,30,35,Active,True,2025-09-20
80,2014 Boys Blue,0.121,0.121,1.0,0.003,0.0,0.4,30,40,Active,True,2025-09-20
81,AZ Arsenal 14 Boys Teal SC,0.121,0.121,1.0,0.003,0.0,0.4,30,43,Active,True,2025-10-04
82,CCV Stars 14 Boys South Orange,0.121,0.121,1.0,0.003,0.0,0.4,30,38,Active,True,2025-10-04
83,Dynamos SC 14B Gold,0.121,0.121,1.0,0.003,0.0,0.4,30,45,Active,True,2025-10-05
84,PRFC North Valley 14B Copa,0.121,0.121,1.0,0.003,0.0,0.4,30,43,Active,True,2025-04-27
85,PRFC Southeast Valley 14B Predator-Central,0.121,0.121,1.0,0.003,0.0,0.4,30,46,Active,True,2025-09-13
86,PRFC West Valley 14B Pre-Academy,0.121,0.121,1.0,0.003,0.0,0.4,30,54,Active,True,2025-09-21
87,Playmaker Futbol Academy 14B Black,0.121,0.121,1.0,0.003,0.0,0.4,30,71,Active,True,2025-09-28
88,Southeast 2014 Boys Green,0.121,0.121,1.0,0.003,0.0,0.4,30,36,Active,True,2025-10-05
89,State 48 FC Avondale 14 Black,0.121,0.121,1.0,0.003,0.0,0.4,30,36,Active,True,2025-10-04
90,Tuzos Royals 14 Pre-Academy,0.121,0.121,1.0,0.003,0.0,0.4,30,57,Active,True,2025-09-14
91,U-12 (2014) Boys Pre Academy Blue,0.121,0.121,1.0,0.003,0.0,0.4,30,40,Active,True,2025-10-05
92,PRFC Desert Foothills 14B Predator,0.121,0.121,1.0,0.003,0.0,0.4,29,36,Active,True,2025-10-04
93,14B Midhaan,0.121,0.121,1.0,0.003,0.0,0.4,26,27,Active,True,2025-09-14
94,14B Moyer,0.121,0.121,1.0,0.003,0.0,0.4,26,31,Active,True,2025-09-20
95,Phoenix Premier FC 14B SW Black,0.121,0.121,1.0,0.003,0.0,0.4,24,28,Active,True,2025-09-28
96,PRFC Southeast Valley 14B Pre-Academy,0.121,0.121,1.0,0.002,0.0,0.402,30,43,Active,True,2025-10-04
97,Amore 2014 Boys,0.121,0.121,1.0,0.002,0.0,0.4,30,58,Active,True,2025-09-07
98,CAC 14/15B (Conroy),0.121,0.121,1.0,0.002,0.0,0.4,30,42,Active,True,2025-09-28
99,CDO 14B Premier,0.121,0.121,1.0,0.002,0.0,0.4,30,33,Active,True,2025-10-05
100,PRFC North Valley 14B Predator,0.121,0.121,1.0,0.002,0.0,0.4,30,56,Active,True,2025-09-27
101,Phoenix United 2014 Premier,0.121,0.121,1.0,0.002,0.0,0.4,30,57,Active,True,2025-10-04
102,Phoenix Valley Soccer Club boys 2014,0.121,0.121,1.0,0.002,0.0,0.4,30,35,Active,True,2025-09-20
103,Select 14B,0.121,0.121,1.0,0.002,0.0,0.4,30,34,Active,True,2025-10-04
104,Select 14B Red,0.121,0.121,1.0,0.002,0.0,0.4,29,31,Active,True,2025-10-04
105,Milan,0.121,0.121,1.0,0.002,0.0,0.4,28,34,Active,True,2025-09-28
106,Phoenix Premier FC 14B White,0.121,0.121,1.0,0.002,0.0,0.4,28,32,Active,True,2025-04-19
107,Tuzos Titanes 2014,0.121,0.121,1.0,0.002,0.0,0.4,23,25,Active,True,2025-09-20
108,14B Hermanson AL,0.12,0.12,1.0,0.001,0.0,0.4,30,41,Active,True,2025-10-04
109,PRFC West Valley 14B Predator,0.12,0.12,1.0,0.001,0.0,0.4,30,37,Active,True,2025-10-04
110,PSG 14B Blue,0.12,0.12,1.0,0.001,0.0,0.4,30,44,Active,True,2025-10-04
111,Playmaker Futbol Academy 14B Gold,0.12,0.12,1.0,0.001,0.0,0.4,30,76,Active,True,2025-09-28
112,Synergy FC 14 B,0.12,0.12,1.0,0.001,0.0,0.4,30,41,Active,True,2025-09-27
113,Tuzos Academy Mesa 2014,0.12,0.12,1.0,0.001,0.0,0.4,30,59,Active,True,2025-10-05
114,Eagles F.C.,0.12,0.12,1.0,0.001,0.0,0.4,28,29,Active,True,2025-09-21
115,14B Geoff,0.12,0.12,1.0,0.001,0.0,0.4,24,26,Active,True,2025-09-21
116,Hustle Hard 2014- Boys,0.12,0.12,1.0,0.001,0.0,0.4,24,29,Active,True,2025-04-13
