Team_A,Team_B,Team_A_Offensive,Team_A_Defensive,Team_B_Offensive,Team_B_Defensive,Team_A_Goals,Team_B_Goals,Date,Event
Tuzos Royals 2014,AZ Arsenal 14 Boys Teal SC,2.560747663551402,2.046728971962617,2.36697247706422,2.6605504587155964,3,1,2/15/2025,2024-25 MaxinMotion Open League Season 2
Tuzos Royals 2014,Brazas 2014 Boys Black Marcos,2.560747663551402,2.046728971962617,2.595744680851064,2.148936170212766,5,0,2/15/2025,2024-25 MaxinMotion Open League Season 2
Tuzos Royals 2014,Southeast 2014 Boys Blue,2.560747663551402,2.046728971962617,3.3513513513513513,2.2837837837837838,3,2,2/8/2025,Desert Classic 2025
Tuzos Royals 2014,PRFC North Valley 14B PreAcademy,2.560747663551402,2.046728971962617,2.4423076923076925,2.25,2,3,2/8/2025,Desert Classic 2025
NOS Santos 14 Boys Blue,Tuzos Royals 2014,2.8545454545454545,3.418181818181818,2.560747663551402,2.046728971962617,2,3,2/8/2025,2024-25 MaxinMotion Open League Season 2
Southeast 2014 Boys Red,Tuzos Royals 2014,2.7083333333333335,1.9895833333333333,2.560747663551402,2.046728971962617,2,3,2/7/2025,Desert Classic 2025
Tuzos Royals 2014,2014B West,2.560747663551402,2.046728971962617,4.419753086419753,1.9753086419753085,3,6,2/1/2025,2024-25 MaxinMotion Open League Season 2
Tuzos Royals 2014,Madison FC 14 Gold Boys,2.560747663551402,2.046728971962617,3.7160493827160495,1.5061728395061729,1,0,1/19/2025,2025 Rated Cup
Tuzos Royals 2014,Northwest 2014 Boys,2.560747663551402,2.046728971962617,1.7435897435897436,3.2948717948717947,3,0,1/19/2025,2025 Rated Cup
Tuzos Royals 2014,Madison FC 14 Gold Boys,2.560747663551402,2.046728971962617,3.7160493827160495,1.5061728395061729,3,1,1/18/2025,2025 Rated Cup
West Valley 2014 Boys Martinez Pre-Elite64,Tuzos Royals 2014,3.457627118644068,1.88135593220339,2.560747663551402,2.046728971962617,0,3,1/18/2025,2025 Rated Cup
AZSC 14B Perez,Tuzos Royals 2014,3.7313432835820897,2.029850746268657,2.560747663551402,2.046728971962617,2,3,1/11/2025,2024-25 MaxinMotion Open League Season 2
Tuzos Royals 2014,2014B West,2.560747663551402,2.046728971962617,4.419753086419753,1.9753086419753085,2,2,12/14/2024,RSL-AZ Holiday Classic 2024
Tuzos Royals 2014,Playmaker Futbol Academy 14B Gold,2.560747663551402,2.046728971962617,2.2278481012658227,3.481012658227848,8,1,11/30/2024,2024 Desert Super Cup
Tuzos Royals 2014,AZ Arsenal 14 Boys Teal SC,2.560747663551402,2.046728971962617,2.36697247706422,2.6605504587155964,2,1,11/16/2024,2024-25 MaxinMotion Open League Season 1
Southeast 2014 Boys Red,Tuzos Royals 2014,2.7083333333333335,1.9895833333333333,2.560747663551402,2.046728971962617,4,3,11/10/2024,Kick for the Cure 2024
Tuzos Royals 2014,14B Velasco,2.560747663551402,2.046728971962617,3.2222222222222223,1.7592592592592593,3,3,11/9/2024,Kick for the Cure 2024
Brazas 2014 Boys Black Marcos,Tuzos Royals 2014,2.595744680851064,2.148936170212766,2.560747663551402,2.046728971962617,5,2,10/5/2024,2024-25 MaxinMotion Open League Season 1
