Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Original Team Rank
2025-01-18,Southeast 2014 Boys Black,FRAM B14 EA-Lopez,11,1,W,L,Vegas Cup 2025,Vegas Cup,U11B Gold,Aventura Park,"2525 Via Firenze, Henderson, NV 89044",18573112,238248,5
2025-01-18,Southeast 2014 Boys Black,ACADEMY B14 - EA2,0,2,L,W,Vegas Cup 2025,Vegas Cup,U11B Gold,Aventura Park,"2525 Via Firenze, Henderson, NV 89044",18573091,238248,5
2025-01-12,Southeast 2014 Boys Black,Phoenix United 2013 Academy,6,4,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U12B Boys U12 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604747,238248,5
2025-01-11,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,1,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U12B Boys U12 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604743,238248,5
2025-01-11,Atletico Tuzos Mesa 13/14,Southeast 2014 Boys Black,2,7,L,W,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U12B Boys U12 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604746,238248,5
2024-12-08,Southeast 2014 Boys Black,2014 EVO-PFC-Dep. JUNIORS,4,1,W,L,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B SuperCopa Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423394,238248,5
2024-12-07,Southeast 2014 Boys Black,14B GSA,2,3,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B SuperCopa Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423398,238248,5
2024-12-06,Premier Touch FC LB B14,Southeast 2014 Boys Black,3,3,T,T,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B SuperCopa Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423391,238248,5
2024-12-01,Southeast 2014 Boys Black,Legends FC AZ 14B FC,3,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327421,238248,5
2024-12-01,Sele Sonora 2014,Southeast 2014 Boys Black,3,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327423,238248,5
2024-11-30,14B GSA,Southeast 2014 Boys Black,1,4,L,W,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327417,238248,5
2024-11-29,Southeast 2014 Boys Black,Athlete Institute (AIFC),3,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327413,238248,5
2024-11-24,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,4,4,T,T,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182566,238248,5
2024-11-23,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,0,6,L,W,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182559,238248,5
2024-11-23,Southeast 2014 Boys Black,13 ECNL #1,3,5,L,W,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182561,238248,5
2024-10-27,2014 Academy,Southeast 2014 Boys Black,1,2,L,W,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B Chapman Auto Group (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077982,238248,5
2024-10-26,Southeast 2014 Boys Black,Premier 14B-JE,20,0,W,L,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B Chapman Auto Group (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077757,238248,5
2024-10-26,2014B Pre-MLS,Southeast 2014 Boys Black,9,2,W,L,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B Chapman Auto Group (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077759,238248,5
2024-10-20,Southeast 2014 Boys Black,State 48 FC 13 White,4,2,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993661,238248,5
2024-10-20,Southeast 2014 Boys Black,Phoenix United 2013 Academy,3,3,T,T,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993658,238248,5
2024-10-19,State 48 FC 13 White,Southeast 2014 Boys Black,0,9,L,W,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993655,238248,5
2024-10-18,Southeast 2014 Boys Black,14B GSA,3,1,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993653,238248,5
2024-10-13,FC ARIZONA 13 GFC CUEVAS,Southeast 2014 Boys Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825643,238248,5
2024-10-12,13B Pre-MLS Next GSA,Southeast 2014 Boys Black,0,3,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825647,238248,5
2024-10-12,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825649,238248,5
2024-09-29,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,3,L,W,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816391,238248,5
2024-09-29,Southeast 2014 Boys Black,Next Level Soccer Northwest 2013 Boys,2,0,W,L,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816389,238248,5
2024-09-28,Southeast 2014 Boys Black,State 48 FC 13 Black,4,0,W,L,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816380,238248,5
2024-09-28,Southeast 2014 Boys Black,Havasu Lions 13B Moran 24/25,5,0,W,L,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816385,238248,5
2024-09-27,Magnifico FC B13E,Southeast 2014 Boys Black,1,4,L,W,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816374,238248,5
2024-08-31,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,4,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371862,238248,5
2024-08-31,Tuzos Academy Mesa 2013,Southeast 2014 Boys Black,2,2,T,T,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371866,238248,5
2024-08-30,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,1,2,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371869,238248,5
2024-04-07,Southeast 2014 Boys Black,Next Level Soccer 2013 Boys Green,5,1,W,L,Brazas Ginga Champions ,Brazas Ginga Champions ,U11B U11 - Gold ,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",15496777,238248,5
2024-04-06,Southeast 2014 Boys Black,13B Blue,6,1,W,L,Brazas Ginga Champions ,Brazas Ginga Champions ,U11B U11 - Gold ,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",15496717,238248,5
2024-04-06,Southeast 2014 Boys Black,North Scottsdale 13 Sandsharks,1,1,T,T,Brazas Ginga Champions ,Brazas Ginga Champions ,U11B U11 - Gold ,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",15496709,238248,5
2024-04-05,Brazas 2013 Boys Black Pacifico,Southeast 2014 Boys Black,3,4,L,W,Brazas Ginga Champions ,Brazas Ginga Champions ,U11B U11 - Gold ,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",15496713,238248,5
2024-03-16,FSC United 13 Boys,Southeast 2014 Boys Black,1,5,L,W,2024 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Premier,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",15019406,238248,5
2024-03-16,Southeast 2014 Boys Black,CCV Stars 13 Boys Pre-ECNL PEO,1,4,L,W,2024 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Premier,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",15019402,238248,5
2024-03-15,NM RUSH 13B BLACK,Southeast 2014 Boys Black,1,10,L,W,2024 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Premier,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",15019397,238248,5
2024-03-10,Southeast 2014 Boys Black,PRFC Scottsdale 14B Pre-Academy,5,1,W,L,The Open (2024) SuperCopa & SuperCopa+ Qualifier ,The Open,U10B Super U10 Male,Scottsdale Sports Complex,"8081 E Princess Dr , Scottsdale, AZ 85255",15000280,238248,5
2024-03-09,Legends FC AZ 14B FC,Southeast 2014 Boys Black,2,8,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier ,The Open,U10B Super U10 Male,Scottsdale Sports Complex,"8081 E Princess Dr , Scottsdale, AZ 85255",15000278,238248,5
2024-03-09,Utah United Academy 2014,Southeast 2014 Boys Black,5,1,W,L,The Open (2024) SuperCopa & SuperCopa+ Qualifier ,The Open,U10B Super U10 Male,Scottsdale Sports Complex,"8081 E Princess Dr , Scottsdale, AZ 85255",15000273,238248,5
2024-03-08,Southeast 2014 Boys Black,Broomfield Blast SC 2014 Prestige,8,0,W,L,The Open (2024) SuperCopa & SuperCopa+ Qualifier ,The Open,U10B Super U10 Male,Scottsdale Sports Complex,"8081 E Princess Dr , Scottsdale, AZ 85255",15000265,238248,5
2024-02-25,Southeast 2014 Boys Black,PRFC Southeast Valley 13B Pre-Academy,5,3,W,L,2024 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",14324797,238248,5
2024-02-24,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,4,3,W,L,2024 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",14324793,238248,5
2024-02-23,Southeast 2014 Boys Black,PRFC Scottsdale 13B Pre-Academy,2,4,L,W,2024 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",14324791,238248,5
2024-02-11,Southeast 2014 Boys Black,PRFC Scottsdale 14B Pre-Academy,8,3,W,L,Desert Classic 2024,Desert Classic,U11B U10 Boys Gold - 9v9,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",14251934,238248,5
2024-02-10,Phoenix United 2014 Elite,Southeast 2014 Boys Black,5,1,W,L,Desert Classic 2024,Desert Classic,U11B U10 Boys Gold - 9v9,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",14251932,238248,5
2024-02-09,Southeast 2014 Boys Black,Legends FC AZ 14B FC,8,0,W,L,Desert Classic 2024,Desert Classic,U11B U10 Boys Gold - 9v9,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",14251930,238248,5
2024-01-21,Southeast 2014 Boys Black,North Scottsdale 13 Sandsharks,7,0,W,L,North Scottsdale Sandsharks Invitational 2024,Sandsharks,U11B U11 Boys USA,Rose Mofford Sports Complex,"9833 N 25th Avenue , Phoenix, AZ 85021",13916510,238248,5
2024-01-20,Southeast 2014 Boys Black,Brazas 2013 Boys Black Marcos,2,3,L,W,North Scottsdale Sandsharks Invitational 2024,Sandsharks,U11B U11 Boys USA,Rose Mofford Sports Complex,"9833 N 25th Avenue , Phoenix, AZ 85021",13916508,238248,5
2024-01-20,13 Boys Pre MLS Next Gold Central,Southeast 2014 Boys Black,5,1,W,L,North Scottsdale Sandsharks Invitational 2024,Sandsharks,U11B U11 Boys USA,Rose Mofford Sports Complex,"9833 N 25th Avenue , Phoenix, AZ 85021",13916506,238248,5
2024-01-14,Southeast 2014 Boys Black,Phoenix United 2014 Elite,0,3,L,W,CCV Stars Champions Cup 2024,CCV Stars Champions Cup,U11B Boys U11 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",13843997,238248,5
2024-01-14,Southeast 2014 Boys Black,Playmaker Futbol Academy 13 Boys Black,2,4,L,W,CCV Stars Champions Cup 2024,CCV Stars Champions Cup,U11B Boys U11 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",13844001,238248,5
2024-01-13,PRFC West Valley 13B Pre-Academy,Southeast 2014 Boys Black,3,2,W,L,CCV Stars Champions Cup 2024,CCV Stars Champions Cup,U11B Boys U11 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",13844000,238248,5
2024-01-07,Southeast 2014 Boys Black,AZ Arsenal 14 Boys Teal 1 IANNONE,8,4,W,L,Inside Classic 2024,Inside Classic,U11B Teal U11 Boys,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",13761054,238248,5
2024-01-07,Southeast 2014 Boys Black,AZ Arsenal 13 Boys Teal 1,6,4,W,L,Inside Classic 2024,Inside Classic,U11B Teal U11 Boys,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",13761056,238248,5
2024-01-06,AZ Arsenal 14 Boys Teal 1,Southeast 2014 Boys Black,5,14,L,W,Inside Classic 2024,Inside Classic,U11B Teal U11 Boys,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",13761050,238248,5
2024-01-06,Southeast 2014 Boys Black,AZ Arsenal 13 Boys Teal 1,3,2,W,L,Inside Classic 2024,Inside Classic,U11B Teal U11 Boys,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",13761049,238248,5
2023-11-26,Southeast 2014 Boys Black,Phoenix United 2014 Elite,2,2,T,T,2023 Desert Super Cup,Tournaments Powered by Rated Sports ,U10B SUPER PRO - U10B,Scottsdale Sports Complex (FC Arizona),"8081 E Princess Drive , Scottsdale, AZ 85255",13547914,238248,5
2023-11-25,Oaks FC B14 EA,Southeast 2014 Boys Black,3,0,W,L,2023 Desert Super Cup,Tournaments Powered by Rated Sports ,U10B SUPER PRO - U10B,Scottsdale Sports Complex (FC Arizona),"8081 E Princess Drive , Scottsdale, AZ 85255",13547911,238248,5
2023-11-24,Southeast 2014 Boys Black,Legends FC AZ 14B FC,2,0,W,L,2023 Desert Super Cup,Tournaments Powered by Rated Sports ,U10B SUPER PRO - U10B,Scottsdale Sports Complex (FC Arizona),"8081 E Princess Drive , Scottsdale, AZ 85255",13547907,238248,5
2023-11-19,U-11 (2013) Boys Pre Academy,Southeast 2014 Boys Black,2,3,L,W,2023 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver East ,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",13456069,238248,5
2023-11-19,Southeast 2014 Boys Black,AZSC 13B Incarnati,7,4,W,L,2023 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver East ,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",13456067,238248,5
2023-11-18,Southeast 2014 Boys Black,CCV STARS 13 Boys LAV,5,1,W,L,2023 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver East ,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",13456059,238248,5
2023-11-18,13 B. Pre ECNL 2,Southeast 2014 Boys Black,3,2,W,L,2023 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver East ,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",13456063,238248,5
2023-11-05,Southeast 2014 Boys Black,PRFC Scottsdale 13B Pre-Academy,1,2,L,W,2023 Rush Cup ,2025 Rush Cup ,U11B U11B GOLD,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",13341187,238248,5
2023-11-05,PRFC Scottsdale 13B Pre-Academy,Southeast 2014 Boys Black,3,4,L,W,2023 Rush Cup ,2025 Rush Cup ,U11B U11B GOLD,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",13341192,238248,5
