Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Original Team Rank
2025-09-14,Southeast 2014 Boys Black,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,3,2,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641542,238248,5
2025-09-14,Southeast 2014 Boys Black,Southeast 2014 Boys Blue,2,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641543,238248,5
2025-09-13,14B Antunez Pre-MLS Next,Southeast 2014 Boys Black,0,7,L,W,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641538,238248,5
2025-09-13,Southeast 2014 Boys Black,Southeast 2014 Boys Blue,4,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641540,238248,5
2025-08-31,14 Pre-MLSN #1,Southeast 2014 Boys Black,1,3,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380483,238248,5
2025-08-30,Dynamos SC 14B SC,Southeast 2014 Boys Black,1,1,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380478,238248,5
2025-08-30,Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380480,238248,5
2025-05-17,Dallas Texans Pre ECNL B14 Salazar,Southeast 2014 Boys Black,1,2,L,W,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,UTD Baseball/Softball Complex,"Loop Rd. SW , Richardson, TX 75080",20628107,238248,5
2025-05-17,Southeast 2014 Boys Black,Fenomenos 2014,2,2,T,T,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,Veterans,"2335 Sandy Lake Road , Carrollton, TX 75006",20628102,238248,5
2025-05-16,Southeast 2014 Boys Black,Catalyst 14 N,8,5,W,L,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,MoneyGram Soccer Park,"2200 Walnut Hill, Dallas, TX 75229",20628118,238248,5
2025-04-13,AZ Arsenal 13 Boys Teal 2 Don,Southeast 2014 Boys Black,1,7,L,W,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356780,238248,5
2025-04-12,Southeast 2014 Boys Black,ALBION SC Las Vegas B13 Academy V,9,1,W,L,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356784,238248,5
2025-04-12,AZ Arsenal 13 Boys Teal 1,Southeast 2014 Boys Black,2,4,L,W,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356786,238248,5
2025-04-11,Southeast 2014 Boys Black,Next Level Soccer Southeast 2013 Boys Blue,3,1,W,L,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356783,238248,5
2025-03-30,Southeast 2014 Boys Black,PRFC West Valley 13B Pre-Academy,2,5,L,W,2025 Arizona Academy Cup | Powered By Rated Sports,Tournaments Powered by Rated Sports ,U13B GOLD - U13,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",20183362,238248,5
2025-03-29,Southeast 2014 Boys Black,Legends FC AZ 12G FC,4,2,W,L,2025 Arizona Academy Cup | Powered By Rated Sports,Tournaments Powered by Rated Sports ,U13B GOLD - U13,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",20183356,238248,5
2025-03-29,Southeast 2014 Boys Black,Next Level Soccer Southeast 2013 Boys Black,2,5,L,W,2025 Arizona Academy Cup | Powered By Rated Sports,Tournaments Powered by Rated Sports ,U13B GOLD - U13,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",20183360,238248,5
2025-03-23,PRFC Scottsdale 13B Pre-Academy,Southeast 2014 Boys Black,2,1,W,L,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U12B BU12 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917401,238248,5
2025-03-23,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,1,1,T,T,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U12B BU12 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917895,238248,5
2025-03-22,NMSA 13 Pre EA Boys,Southeast 2014 Boys Black,2,3,L,W,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U12B BU12 Super Pro,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",19917404,238248,5
2025-03-21,Southeast 2014 Boys Black,REAL B2013 Gold,6,1,W,L,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U12B BU12 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917397,238248,5
2025-02-17,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,6,0,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965493,238248,5
2025-02-16,Southeast 2014 Boys Black,CPSC 14B Black 1,6,1,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965466,238248,5
2025-02-15,2013 Boys National,Southeast 2014 Boys Black,1,3,L,W,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965462,238248,5
2025-02-14,Southeast 2014 Boys Black,Phoenix United 14 Elite,2,0,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965458,238248,5
2025-02-09,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,5,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969222,238248,5
2025-02-08,Southeast 2014 Boys Black,13B GSA,3,4,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969216,238248,5
2025-02-08,CCV Stars 13 Boys PEO,Southeast 2014 Boys Black,1,0,W,L,Desert Classic 2025,Desert Classic,U12B U12 Boys Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969221,238248,5
2025-01-26,Southeast 2014 Boys Black,PRFC North Valley 13B Predator,7,1,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U12B U12 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702826,238248,5
2025-01-26,Southeast 2014 Boys Black,State 48 FC 13 White,9,0,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U12B U12 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702827,238248,5
2025-01-25,Brazas 2013 Boys Black Pacifico,Southeast 2014 Boys Black,1,4,L,W,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U12B U12 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702822,238248,5
2025-01-25,Southeast 2014 Boys Black,State 48 FC 13 White,8,0,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U12B U12 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702824,238248,5
2025-01-19,Avalanche Boys 14 Black SL 2,Southeast 2014 Boys Black,0,15,L,W,Vegas Cup 2025,Vegas Cup,U11B Gold,James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18573093,238248,5
