Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
19609909,14,14B JCFresquez Pre-MLS Next,14B GSA,,Unmatched team(s),3/8/2025,2025 Ostrich Festival
18996284,14B JCFresquez Pre-MLS Next,14,,14B GSA,Unmatched team(s),2/22/2025,2025 Max Shacknai Invitational
18566354,Legends FC AZ 14B Gold,14,,14B GSA,Unmatched team(s),2/15/2025,2024-25 MaxinMotion Open League Season 2
18566340,14B Jimmy,14,,14B GSA,Unmatched team(s),1/25/2025,2024-25 MaxinMotion Open League Season 2
18592434,14B JCFresquez Pre-MLS Next,14,,14B GSA,Unmatched team(s),1/4/2025,New Year's Futures Cup 2025
18072126,AZ Arsenal 15 Boys Teal 1 JZ,14,,14B GSA,Unmatched team(s),11/3/2024,2024 Rush Cup 
18072124,Legends FC AZ 14B Gold,14,,14B GSA,Unmatched team(s),11/3/2024,2024 Rush Cup 
20286519,Phoenix United 14 Elite,Southeast 2014 Boys Red,,Southeast 2014 Boys Red,Unmatched team(s),4/12/2025,Rivalries Cup 2025
18604630,CCV STARS 14 Boys Orange PEO,Southeast 2014 Boys Red,,Southeast 2014 Boys Red,Unmatched team(s),1/11/2025,CCV Stars Champions Cup 2025
18181899,Southeast 2014 Boys Red,14 ECNL #1,Southeast 2014 Boys Red,,Unmatched team(s),11/24/2024,2024 Heritage Cup 
18181897,Southeast 2014 Boys Red,14B JCFresquez Pre-MLS Next,Southeast 2014 Boys Red,,Unmatched team(s),11/22/2024,2024 Heritage Cup 
17993638,Southeast 2014 Boys Red,Legends FC AZ 14B Gold,Southeast 2014 Boys Red,,Unmatched team(s),10/20/2024,2024 The Fiesta Cup 
17371375,Southeast 2014 Boys Red,14 ECNL #1,Southeast 2014 Boys Red,,Unmatched team(s),9/1/2024,Phoenix Rising Cup 2024
17371373,Southeast 2014 Boys Red,Phoenix United 2015 Elite,Southeast 2014 Boys Red,,Unmatched team(s),8/31/2024,Phoenix Rising Cup 2024
22426329,Dynamos SC 14B SC,Phoenix United 2015 Elite,Dynamos SC 14B SC,,Unmatched team(s),9/6/2025,Tuzos Challenge 2025
19916709,Dynamos SC 14B SC,14 ECNL #1,Dynamos SC 14B SC,,Unmatched team(s),4/26/2025,2025 Arizona Presidents Cup
19916704,CCV STARS 14 Boys Orange PEO,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),4/11/2025,2025 Arizona Presidents Cup
20183319,Dynamos SC 14B SC,CCV STARS 14 Boys Orange LAV,Dynamos SC 14B SC,,Unmatched team(s),3/30/2025,2025 Arizona Academy Cup | Powered By Rated Sports
19917889,Phoenix United 14 Elite,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),3/23/2025,2025 Phoenix Cup - Boys Weekend
19917329,Dynamos SC 14B SC,14B JCFresquez Pre-MLS Next,Dynamos SC 14B SC,,Unmatched team(s),3/22/2025,2025 Phoenix Cup - Boys Weekend
16745179,14 ECNL #1,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),3/2/2025,2024-2025 ASA Advanced Leagues
18996289,14B Jimmy,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),2/20/2025,2025 Max Shacknai Invitational
18604628,CCV STARS 14 Boys Orange PEO,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),1/10/2025,CCV Stars Champions Cup 2025
16745193,CCV STARS 14 Boys Orange LAV,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),11/9/2024,2024-2025 ASA Advanced Leagues
16745198,Dynamos SC 14B SC,14 ECNL #2,Dynamos SC 14B SC,,Unmatched team(s),11/9/2024,2024-2025 ASA Advanced Leagues
16745209,14B Flores,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),10/19/2024,2024-2025 ASA Advanced Leagues
17857940,14 ECNL #1,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),10/12/2024,Arsenal Challenge 2024
17816278,Dynamos SC 14B SC,AZ Arsenal 15 Boys Teal 1 JZ,Dynamos SC 14B SC,,Unmatched team(s),9/27/2024,The Derby (2024)
16745230,Dynamos SC 14B SC,14B JCFresquez Pre-MLS Next,Dynamos SC 14B SC,,Unmatched team(s),9/22/2024,2024-2025 ASA Advanced Leagues
15550735,CCV STARS 14 Boys Orange PEO,Dynamos SC 14B SC,,Dynamos SC 14B SC,Unmatched team(s),4/20/2024,2024 Arizona Presidents Cup
19916710,Excel Soccer Academy 14B Red,CCV STARS 14 Boys Orange PEO,Excel Soccer Academy 14B Red,,Unmatched team(s),4/26/2025,2025 Arizona Presidents Cup
19916705,14 ECNL #1,Excel Soccer Academy 14B Red,,Excel Soccer Academy 14B Red,Unmatched team(s),4/13/2025,2025 Arizona Presidents Cup
19950206,Phoenix United 2015 Elite,Excel Soccer Academy 14B Red,,Excel Soccer Academy 14B Red,Unmatched team(s),3/30/2025,Tuzos Challenge 2025
